% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 24.91    0.000564          17        32           getdents64
 18.99    0.000430           3       142        28 newfstatat
 12.85    0.000291           5        51         3 openat
  8.70    0.000197           4        48           close
  6.98    0.000158           2        54           read
  6.49    0.000147           2        72           fstat
  4.55    0.000103           1        54         3 lseek
  3.05    0.000069           2        27           mmap
  2.25    0.000051           8         6           mprotect
  2.12    0.000048          24         2           munmap
  2.08    0.000047           1        30        23 ioctl
  1.90    0.000043           3        13           brk
  1.02    0.000023           3         6         4 readlink
  0.84    0.000019           6         3           getcwd
  0.62    0.000014           7         2           getrandom
  0.57    0.000013          13         1           write
  0.35    0.000008           4         2           gettid
  0.31    0.000007           7         1         1 flock
  0.31    0.000007           7         1           prlimit64
  0.27    0.000006           0        66           rt_sigaction
  0.18    0.000004           0         6           fcntl
  0.18    0.000004           4         1           futex
  0.13    0.000003           3         1           getuid
  0.13    0.000003           3         1           geteuid
  0.13    0.000003           3         1           getegid
  0.09    0.000002           2         1           getgid
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.002264           3       632        63 total
